platform,post_id,language,tracker_language,tracker_date,genre,emotion,post_created_date,created_time,data_fetched_time,permalink_url,post_impressions_unique,shares_count,comments_total,post_reactions_total
Facebook,138927162813391_1284381700390583,en,English,14-Dec-2025,Crime,Shock -VE,2025-12-14,2025-12-14T15:04:08+0000,2025-12-17 17:15:21,https://www.facebook.com/1277368791091874/posts/1284381700390583,5763,2,3,10
Facebook,138927162813391_1284204227074997,en,English,14-Dec-2025,Entertainment,Controversy,2025-12-14,2025-12-14T10:10:14+0000,2025-12-17 17:15:21,https://www.facebook.com/1277368791091874/posts/1284204227074997,8440,2,1,20
Facebook,138927162813391_1284100947085325,en,English,14-Dec-2025,Sports,Sadness,2025-12-14,2025-12-14T06:29:10+0000,2025-12-17 17:15:21,https://www.facebook.com/1277368791091874/posts/1284100947085325,2937,0,2,15
Facebook,138927162813391_1283934297101990,en,English,14-Dec-2025,Crime,Shock -VE,2025-12-14,2025-12-14T00:30:02+0000,2025-12-17 17:15:21,https://www.facebook.com/1277368791091874/posts/1283934297101990,1815,0,1,5
Facebook,138927162813391_1285108866984533,en,English,15-Dec-2025,Crime,Anger,2025-12-15,2025-12-15T14:44:22+0000,2025-12-18 09:00:10,https://www.facebook.com/1277368791091874/posts/1285108866984533,10007,2,19,25
Facebook,138927162813391_1284960126999407,en,English,15-Dec-2025,Current-Affairs,Anger,2025-12-15,2025-12-15T10:50:45+0000,2025-12-18 09:00:10,https://www.facebook.com/1277368791091874/posts/1284960126999407,3402,1,0,5
Facebook,138927162813391_1284874903674596,en,English,15-Dec-2025,Patriotic,Pride,2025-12-15,2025-12-15T07:55:14+0000,2025-12-18 09:00:10,https://www.facebook.com/1277368791091874/posts/1284874903674596,3690,0,1,7
Facebook,138927162813391_1284667640361989,en,English,15-Dec-2025,Sports,Surprise +VE,2025-12-15,2025-12-15T00:30:04+0000,2025-12-18 09:00:10,https://www.facebook.com/1277368791091874/posts/1284667640361989,10568,2,4,135
Facebook,138927162813391_1285580220270731,en,English,16-Dec-2025,Sports,Patriotism,2025-12-16,2025-12-16T06:26:46+0000,2025-12-19 09:00:10,https://www.facebook.com/1277368791091874/posts/1285580220270731,5841,1,10,90
Facebook,138927162813391_1285401543621932,en,English,16-Dec-2025,Politics,Anger,2025-12-16,2025-12-16T00:30:04+0000,2025-12-19 09:00:10,https://www.facebook.com/1277368791091874/posts/1285401543621932,5732,1,1,10
Facebook,138927162813391_1286332793528807,en,English,17-Dec-2025,Sports,Curiosity,2025-12-17,2025-12-17T06:52:08+0000,2025-12-20 09:00:29,https://www.facebook.com/1277368791091874/posts/1286332793528807,9769,2,3,61
Facebook,138927162813391_1287098230118930,en,English,18-Dec-2025,Sports,Controversy,2025-12-18,2025-12-18T08:04:56+0000,2025-12-21 09:00:22,https://www.facebook.com/1277368791091874/posts/1287098230118930,5608,0,2,15
Facebook,138927162813391_1289623909866362,en,English,21-Dec-2025,Sports,Shock -VE,2025-12-21,2025-12-21T14:52:29+0000,2025-12-24 09:00:22,https://www.facebook.com/1277368791091874/posts/1289623909866362,6254,0,1,9
Facebook,138927162813391_1289503926545027,en,English,21-Dec-2025,Off-beat,Surprise +VE,2025-12-21,2025-12-21T11:36:46+0000,2025-12-24 09:00:22,https://www.facebook.com/1277368791091874/posts/1289503926545027,4046,1,1,19
Facebook,138927162813391_1290382483123838,en,English,22-Dec-2025,Current-Affairs,Anger,2025-12-22,2025-12-22T15:03:43+0000,2025-12-25 09:00:30,https://www.facebook.com/1277368791091874/posts/1290382483123838,7760,0,20,103
Facebook,138927162813391_1290224776472942,en,English,22-Dec-2025,Entertainment,Shock -VE,2025-12-22,2025-12-22T10:37:58+0000,2025-12-25 09:00:30,https://www.facebook.com/1277368791091874/posts/1290224776472942,12488,1,2,50
Facebook,138927162813391_1291197356375684,en,English,23-Dec-2025,Business,Breaking News,2025-12-23,2025-12-23T16:14:12+0000,2025-12-26 09:00:26,https://www.facebook.com/1277368791091874/posts/1291197356375684,18119,5,2,52
Facebook,138927162813391_1291031309725622,en,English,23-Dec-2025,Business,Surprise +VE,2025-12-23,2025-12-23T11:43:04+0000,2025-12-26 09:00:26,https://www.facebook.com/1277368791091874/posts/1291031309725622,4408,0,3,3
Facebook,138927162813391_1290904576404962,en,English,23-Dec-2025,Sports,Surprise +VE,2025-12-23,2025-12-23T07:42:12+0000,2025-12-26 09:00:26,https://www.facebook.com/1277368791091874/posts/1290904576404962,4846,0,5,73
Facebook,138927162813391_1291496563012430,en,English,24-Dec-2025,Off-beat,Shock -VE,2025-12-24,2025-12-24T02:46:42+0000,2025-12-27 09:00:09,https://www.facebook.com/1277368791091874/posts/1291496563012430,7710,0,2,8
Facebook,138927162813391_1291886459640107,en,English,24-Dec-2025,Sports,Happiness,2025-12-24,2025-12-24T15:04:55+0000,2025-12-27 09:00:09,https://www.facebook.com/1277368791091874/posts/1291886459640107,7391,0,2,10
Facebook,138927162813391_1291730606322359,en,English,24-Dec-2025,International Politics,Shock -VE,2025-12-24,2025-12-24T11:00:45+0000,2025-12-27 09:00:09,https://www.facebook.com/1277368791091874/posts/1291730606322359,5229,3,7,15
Facebook,138927162813391_1291599949668758,en,English,24-Dec-2025,Int others,Funny,2025-12-24,2025-12-24T06:25:23+0000,2025-12-27 09:00:09,https://www.facebook.com/1277368791091874/posts/1291599949668758,134484,112,121,3731
Facebook,138927162813391_1292234209605332,en,English,25-Dec-2025,International Politics,Anger,2025-12-25,2025-12-25T02:40:33+0000,2025-12-28 09:00:09,https://www.facebook.com/1277368791091874/posts/1292234209605332,401475,2956,2767,17067
Facebook,138927162813391_1292618612900225,en,English,25-Dec-2025,International Politics,Anger,2025-12-25,2025-12-25T15:03:41+0000,2025-12-28 09:00:09,https://www.facebook.com/1277368791091874/posts/1292618612900225,36471,53,366,1191
