platform,media_id,language,tracker_language,tracker_date,genre,emotion,post_created_date,timestamp,data_fetched_time,permalink,reach,views,likes,comments,shares,total_interactions
Instagram,18101370283686006,en,English,14-Dec-2025,Crime,Shock -VE,2025-12-14,2025-12-14T15:04:10+0000,2025-12-17 17:15:21,https://www.instagram.com/p/DSP4vGsAEq9/,4417,16050,23,1,15,41
Instagram,18084210395281659,en,English,14-Dec-2025,Entertainment,Controversy,2025-12-14,2025-12-14T10:10:17+0000,2025-12-17 17:15:21,https://www.instagram.com/p/DSPXGl9gIxY/,2815,16705,23,1,0,27
Instagram,18136337449482705,en,English,14-Dec-2025,Sports,Sadness,2025-12-14,2025-12-14T06:29:13+0000,2025-12-17 17:15:21,https://www.instagram.com/p/DSO9zc3GBjT/,1446,6598,30,0,6,37
Instagram,18089627257777774,en,English,14-Dec-2025,Crime,Shock -VE,2025-12-14,2025-12-14T00:30:07+0000,2025-12-17 17:15:21,https://www.instagram.com/p/DSOUtSBDvn7/,1499,3016,9,0,2,11
Instagram,18547836871055819,en,English,15-Dec-2025,Crime,Anger,2025-12-15,2025-12-15T14:44:24+0000,2025-12-18 09:00:10,https://www.instagram.com/p/DSSbRJVgA0t/,2609,18086,18,0,0,18
Instagram,18115016149580252,en,English,15-Dec-2025,Current-Affairs,Anger,2025-12-15,2025-12-15T10:50:47+0000,2025-12-18 09:00:10,https://www.instagram.com/p/DSSAiIPGEzA/,1531,7469,15,0,0,16
Instagram,18051354773398411,en,English,15-Dec-2025,Patriotic,Pride,2025-12-15,2025-12-15T07:55:17+0000,2025-12-18 09:00:10,https://www.instagram.com/p/DSRscrXGGXs/,956,6786,10,1,0,12
Instagram,17870047710474975,en,English,15-Dec-2025,Sports,Surprise +VE,2025-12-15,2025-12-15T00:30:11+0000,2025-12-18 09:00:10,https://www.instagram.com/p/DSQ5go_CA7W/,2843,4967,41,0,0,43
Instagram,17984315396768516,en,English,16-Dec-2025,Sports,Patriotism,2025-12-16,2025-12-16T06:26:48+0000,2025-12-19 09:00:10,https://www.instagram.com/p/DSUHHhPFHl6/,1100,9693,11,0,0,11
Instagram,18075656582257529,en,English,16-Dec-2025,Politics,Anger,2025-12-16,2025-12-16T00:30:05+0000,2025-12-19 09:00:10,https://www.instagram.com/p/DSTeS3yD0Dr/,2273,4064,17,2,0,21
Instagram,18083313611115178,en,English,17-Dec-2025,Sports,Curiosity,2025-12-17,2025-12-17T06:52:10+0000,2025-12-20 09:00:29,https://www.instagram.com/p/DSWu0NGDA5Y/,2213,16831,31,0,1,34
Instagram,18084237782281753,en,English,18-Dec-2025,Sports,Controversy,2025-12-18,2025-12-18T08:04:58+0000,2025-12-21 09:00:22,https://www.instagram.com/p/DSZb8TigO7H/,2234,11154,24,0,0,24
Instagram,18545879509047875,en,English,21-Dec-2025,Sports,Shock -VE,2025-12-21,2025-12-21T14:52:32+0000,2025-12-24 09:00:22,https://www.instagram.com/p/DSh49_AgKmy/,2110,11634,16,0,0,16
Instagram,17907547962148122,en,English,21-Dec-2025,Off-beat,Surprise +VE,2025-12-21,2025-12-21T11:36:48+0000,2025-12-24 09:00:22,https://www.instagram.com/p/DShikcPj5iM/,1424,7619,19,0,2,21
