Genre.1,Emotions.1,posts,median_reach,mean_reach,p75_reach,max_reach,lift_vs_label_median_pct
Business,Surprise +VE,6,35.5,37.166666666666664,41.25,51.0,-95.66544566544567
Crime,Shock -VE,38,49.5,1144.2631578947369,1556.25,6052.0,-93.95604395604396
Cultural,Devotion/Spiritual,5,932.0,11905.4,1732.0,56830.0,13.797313797313793
Current-Affairs,Pride,3,2121.0,1507.0,2247.0,2373.0,158.97435897435898
Entertainment,Controversy,45,2552.0,18121.155555555557,4635.0,543465.0,211.5995115995116
Int others,Curiosity,3,1161.0,1387.0,1562.5,1964.0,41.758241758241766
International Politics,Breaking News,3,1288.0,1067.3333333333333,1592.5,1897.0,57.26495726495726
Job,Shock -VE,4,287.5,457.25,706.0,1234.0,-64.8962148962149
Lifestyle,Fear/Concern,5,963.0,776.2,1343.0,1507.0,17.582417582417587
Off-beat,Anger,4,3003.0,2885.75,4530.75,5514.0,266.66666666666663
Politics,Pride,6,1183.0,832.0,1246.25,1320.0,44.44444444444444
Sports,Controversy,11,2017.0,3107.7272727272725,2853.0,14149.0,146.2759462759463
