post_created_date,reach,Genre.1,Emotions.1,caption,permalink,likes,comments,shares,saved,total_interactions,caption_short
2026-03-02,0,Curent-Affairs,Curious,,https://www.instagram.com/p/DVX4At8DSAY/,1,0,0,,1,nan
2026-01-26,0,Patriotic,Patriotism,,https://www.instagram.com/reel/DT9u8AQgU61/,0,0,0,,0,nan
2026-02-07,0,Current-Affairs,Controversy,,https://www.instagram.com/reel/DUdGTDbANZj/,0,0,0,,0,nan
2026-03-03,1,Curent-Affairs,Surprise,,https://www.instagram.com/p/DVauCw7iAh0/,1,0,0,,1,nan
2026-03-01,1,Curent-Affairs,Fear/Concern,,https://www.instagram.com/p/DVVC4ULCFs8/,2,0,0,,2,nan
2026-02-28,1,Curent-Affairs,Proud,,https://www.instagram.com/p/DVSyiTWFxgI/,0,0,0,,0,nan
2026-02-28,1,Off-beat,Shock,,https://www.instagram.com/p/DVTTz7BFyo5/,0,0,0,,0,nan
2026-03-03,1,Curent-Affairs,Shock,,https://www.instagram.com/p/DVa-mecCMPY/,2,0,0,,2,nan
2026-02-28,1,Curent-Affairs,Shock,,https://www.instagram.com/p/DVTvIj9j-iU/,0,0,0,,0,nan
2026-02-28,1,Crime,Shocking,,https://www.instagram.com/p/DVSf0LVF1N7/,1,0,0,,1,nan
2026-02-25,1,Politics,Surprise,,https://www.instagram.com/p/DVKur4XlPzO/,0,0,0,,0,nan
2026-03-04,2,Politics,excitement,,https://www.instagram.com/p/DVdT3MUiPtb/,1,0,0,,1,nan
2026-03-05,2,Entertainment,Sad,,https://www.instagram.com/p/DVf68o7CU58/,3,0,0,,3,nan
2026-04-12,2,Current Affairs,Breaking News,,https://www.instagram.com/p/DXChRzjDNU2/,1,0,0,,1,nan
2026-03-07,2,Off-beat,Fear/Concern,,https://www.instagram.com/p/DVkv_KPDs_o/,2,0,0,,2,nan
2026-03-08,2,Curent-Affairs,Fear/Concern,,https://www.instagram.com/p/DVnliIbCNob/,1,0,0,,1,nan
2026-02-28,2,Entertainment,Controversy,,https://www.instagram.com/p/DVTC7RrCDdG/,0,0,0,,0,nan
2026-03-01,2,Politics,Happy,,https://www.instagram.com/p/DVWIQrVCAna/,1,0,0,,1,nan
2026-03-04,2,Entertainment,Sad,,https://www.instagram.com/p/DVdjgzZiLqk/,0,0,0,,0,nan
2026-03-01,2,Entertainment,Shocking,,https://www.instagram.com/p/DVVUaA7CGNi/,2,0,0,,2,nan
2026-03-01,2,Off-beat,Surprise,,https://www.instagram.com/p/DVVmTN0CNkD/,1,0,0,,1,nan
2026-02-25,2,Politics,Controversy,,https://www.instagram.com/p/DVK_Zz-DFNu/,1,0,0,,1,nan
2026-03-02,2,Crime,Sad,,https://www.instagram.com/p/DVYY5QqCNY9/,0,0,0,,0,nan
2026-02-26,2,Curent-Affairs,Proud,,https://www.instagram.com/p/DVNoamHDX7g/,1,0,0,,1,nan
2026-02-16,2,Entertainment,Shocking,,https://www.instagram.com/p/DUzkirlCSD4/,2,0,0,,2,nan
2026-03-01,2,Entertainment,Surprise,,https://www.instagram.com/p/DVV4GFhCHlr/,1,0,0,,1,nan
2026-03-07,3,Politics,Happy,,https://www.instagram.com/p/DVlpxa5Dajc/,3,0,0,,3,nan
2026-02-14,3,Business,Shock,,https://www.instagram.com/p/DUvcMnIDqOD/,1,0,0,,1,nan
2026-03-07,3,Curent-Affairs,Shocking,,https://www.instagram.com/p/DVlAjx8iI3D/,2,0,0,,2,nan
2026-03-07,3,Crime,Happy,,https://www.instagram.com/p/DVlQAkGjWoI/,3,0,0,,3,nan
