Genre.1,Emotions.1,posts,total_reach,median_reach,mean_reach,lift_vs_filtered_median_pct,language
International Politics,Anger,10,722806,25151.5,72280.6,230.07217847769027,en
Crime,Shock -VE,36,2641839,22183.0,73384.41666666667,191.11548556430446,en
Off-beat,Heartwarming,9,1440256,12082.0,160028.44444444444,58.55643044619423,en
Entertainment,Controversy,39,880576,10619.0,22578.871794871793,39.35695538057742,en
Crime,Anger,13,674043,10226.0,51849.46153846154,34.1994750656168,en
Sports,Controversy,16,365417,9342.0,22838.5625,22.598425196850403,en
Current-Affairs,Shock -VE,28,583901,8811.5,20853.60714285714,15.636482939632558,en
Sports,Surprise +VE,9,227034,8313.0,25226.0,9.09448818897638,en
Entertainment,Shock -VE,12,183737,7540.0,15311.416666666666,-1.049868766404205,en
Entertainment,Happiness,17,156201,6883.0,9188.29411764706,-9.671916010498682,en
Current-Affairs,Anger,19,684834,6828.0,36043.89473684211,-10.393700787401572,en
Off-beat,Surprise +VE,16,1550127,6612.0,96882.9375,-13.228346456692918,en
Off-beat,Shock -VE,12,3451575,6531.0,287631.25,-14.29133858267716,en
Entertainment,Surprise +VE,9,62564,6252.0,6951.555555555556,-17.952755905511808,en
Entertainment,Curiosity,15,124800,5652.0,8320.0,-25.82677165354331,en
Current-Affairs,Fear/Concern,9,117266,5245.0,13029.555555555555,-31.16797900262467,en
Current-Affairs,Breaking News,16,150558,4263.0,9409.875,-44.05511811023622,en
Lifestyle,Fear/Concern,8,938982,4161.0,117372.75,-45.39370078740157,en
Current-Affairs,Surprise +VE,11,131709,4025.0,11973.545454545454,-47.17847769028871,en
Sports,Pride,12,93476,3883.0,7789.666666666667,-49.04199475065617,en
Entertainment,Fandom,11,70621,3566.0,6420.090909090909,-53.202099737532805,en
Current-Affairs,Curiosity,8,29077,3160.5,3634.625,-58.523622047244096,en
Sports,Breaking News,8,26561,2406.5,3320.125,-68.41863517060366,en
