Genre.1,posts,total_reach,median_reach,mean_reach,lift_vs_filtered_median_pct,language
Crime,23,2072515.0,8583.0,90109.34782608696,32.14780600461893,en
Entertainment,44,1031913.0,6995.0,23452.56818181818,7.6982294072363455,en
Current-Affairs,67,1545760.0,6424.0,23071.044776119405,-1.0931485758275628,en
Sports,21,194857.0,5826.0,9278.904761904761,-10.300230946882216,en
Off-beat,20,1287784.0,4597.0,64389.2,-29.222478829869125,en
Entertainment,7,3050.0,187.0,435.7142857142857,56.48535564853556,ml
International Politics,14,6854.0,137.5,489.57142857142856,15.062761506276146,ml
Current-Affairs,46,23768.0,105.0,516.695652173913,-12.133891213389125,ml
Crime,12,15444.0,96.0,1287.0,-19.665271966527197,ml
Politics,12,1471.0,81.5,122.58333333333333,-31.799163179916324,ml
Business,7,691.0,77.0,98.71428571428571,-35.56485355648535,ml
Current-Affairs,6,22.0,4.0,3.6666666666666665,0.0,ta
Politics,25,102.0,4.0,4.08,0.0,ta
Entertainment,18,882633.0,11059.5,49035.166666666664,299.5484104046243,te
Current-Affairs,7,58924.0,2167.0,8417.714285714286,-21.71242774566474,te
Crime,12,79964.0,382.5,6663.666666666667,-86.18135838150289,te
Crime,10,67695.0,754.0,6769.5,9.832483612527309,hi
Off-beat,5,7470.0,751.0,1494.0,9.39548434085944,hi
Entertainment,9,7086.0,354.0,787.3333333333334,-48.4340859431901,hi
