Genre.1,posts,total_reach,reach_share_pct,cum_reach_pct,language
Off-beat,37,6441958,42.08240680012229,42.08240680012229,en
Crime,49,3315882,21.661161905309395,63.743568705431684,en
Current-Affairs,91,1697345,11.087989516565237,74.83155822199691,en
Entertainment,103,1478499,9.65836728081338,84.4899255028103,en
Lifestyle,8,938982,6.1339459993362935,90.62387150214659,en
International Politics,10,722806,4.7217656696254755,95.34563717177205,en
Sports,45,712488,4.654362828227929,99.99999999999999,en
Crime,26,1788060,71.02319218675773,71.02319218675773,hi
Current-Affairs,39,323915,12.866166290378189,83.88935847713591,hi
Off-beat,31,307939,12.231586623937666,96.12094510107357,hi
Entertainment,8,97658,3.879054898926426,100.0,hi
Crime,12,32449,48.590167862116466,48.590167862116466,ml
Curent-Affairs,11,15152,22.689088213713482,71.27925607582995,ml
Business,20,13006,19.47559934711969,90.75485542294965,ml
International Politics,8,6174,9.24514457705036,100.0,ml
Politics,7,25,21.1864406779661,21.1864406779661,ta
Off-beat,9,24,20.33898305084746,41.525423728813564,ta
Curent-Affairs,4,20,16.94915254237288,58.47457627118644,ta
Entertainment,6,16,13.559322033898304,72.03389830508475,ta
Sports,4,8,6.779661016949152,78.8135593220339,ta
Crime,2,7,5.932203389830509,84.7457627118644,ta
Lifestyle,4,7,5.932203389830509,90.6779661016949,ta
Business,2,4,3.389830508474576,94.06779661016948,ta
Spiritual,1,3,2.5423728813559325,96.61016949152541,ta
Job,1,2,1.694915254237288,98.3050847457627,ta
Current Affairs,1,2,1.694915254237288,99.99999999999999,ta
