Genre.1,Emotions.1,posts,total_reach,reach_share_pct,cum_reach_pct,language
Crime,Shock -VE,23,2072515.0,33.793784238888776,33.793784238888776,en
Off-beat,Heartwarming,8,889227.0,14.499458569609555,48.293242808498334,en
Entertainment,Controversy,25,882760.0,14.39400968133956,62.687252489837896,en
Current-Affairs,Shock -VE,19,568860.0,9.27565402524675,71.96290651508464,en
Current-Affairs,Anger,8,425487.0,6.937858531519467,78.9007650466041,en
Off-beat,Shock -VE,12,398557.0,6.498746337130874,85.39951138373497,en
Current-Affairs,Fear/Concern,18,376024.0,6.131330255580255,91.53084163931523,en
Sports,Controversy,10,119976.0,1.9562912972137327,93.48713293652897,en
Entertainment,Curiosity,10,102847.0,1.6769911569358937,95.16412409346486,en
Current-Affairs,Curiosity,11,95980.0,1.5650199932200948,96.72914408668495,en
Current-Affairs,Breaking News,11,79409.0,1.2948184271891487,98.0239625138741,en
Sports,Curiosity,11,74881.0,1.2209862691426745,99.24494878301677,en
Entertainment,Surprise +VE,9,46306.0,0.7550512169832226,99.99999999999999,en
Crime,Shock -VE,12,15444.0,30.118179336167554,30.118179336167554,ml
Current-Affairs,Surprise +VE,17,14061.0,27.421116268185187,57.539295604352745,ml
Current-Affairs,Shock -VE,19,8447.0,16.47295136315769,74.01224696751044,ml
International Politics,Shock -VE,7,4814.0,9.388041655290769,83.4002886228012,ml
Entertainment,Surprise +VE,7,3050.0,5.94796988962128,89.34825851242248,ml
International Politics,Fear/Concern,7,2040.0,3.9783142868286596,93.32657279925114,ml
Current-Affairs,Happiness,5,864.0,1.6849331097156675,95.01150590896681,ml
Politics,Surprise +VE,7,851.0,1.6595811069074458,96.67108701587426,ml
Business,Shock -VE,7,691.0,1.3475564569601,98.01864347283437,ml
Politics,Curiosity,5,620.0,1.209095518545965,99.22773899138033,ml
Current-Affairs,Curiosity,5,396.0,0.7722610086196809,100.00000000000001,ml
Politics,Surprise +VE,11,44.0,35.483870967741936,35.483870967741936,ta
Politics,Controversy,7,34.0,27.419354838709676,62.903225806451616,ta
Politics,Shock -VE,7,24.0,19.35483870967742,82.25806451612904,ta
Current-Affairs,Shock -VE,6,22.0,17.741935483870968,100.0,ta
Entertainment,Sadness,5,417575.0,40.87776952211457,40.87776952211457,te
Entertainment,Controversy,8,368351.0,36.05907269649865,76.93684221861322,te
Entertainment,Curiosity,5,96707.0,9.466961521104315,86.40380373971753,te
Current-Affairs,Shock -VE,7,58924.0,5.76826124964636,92.17206498936389,te
Crime,Shock -VE,6,44971.0,4.402356877636388,96.57442186700028,te
Crime,Sadness,6,34993.0,3.4255781329997133,100.0,te
Crime,Shock -VE,10,67695.0,82.30295072400335,82.30295072400335,hi
Off-beat,Surprise +VE,5,7470.0,9.081956450377502,91.38490717438086,hi
Entertainment,Controversy,4,5110.0,6.212690423216739,97.5975975975976,hi
Entertainment,Curiosity,5,1976.0,2.4024024024024024,100.0,hi
