Genre.1,Emotions.1,posts,total_reach,reach_share_pct,cum_reach_pct,language
Crime,Shock -VE,23,2072515.0,33.793784238888776,33.793784238888776,en
Off-beat,Heartwarming,8,889227.0,14.499458569609555,48.293242808498334,en
Entertainment,Controversy,25,882760.0,14.39400968133956,62.687252489837896,en
Current-Affairs,Shock -VE,19,568860.0,9.27565402524675,71.96290651508464,en
Current-Affairs,Anger,8,425487.0,6.937858531519467,78.9007650466041,en
Off-beat,Shock -VE,12,398557.0,6.498746337130874,85.39951138373497,en
Current-Affairs,Fear/Concern,18,376024.0,6.131330255580255,91.53084163931523,en
Sports,Controversy,10,119976.0,1.9562912972137327,93.48713293652897,en
Entertainment,Curiosity,10,102847.0,1.6769911569358937,95.16412409346486,en
Current-Affairs,Curiosity,11,95980.0,1.5650199932200948,96.72914408668495,en
Current-Affairs,Breaking News,11,79409.0,1.2948184271891487,98.0239625138741,en
Sports,Curiosity,11,74881.0,1.2209862691426745,99.24494878301677,en
Entertainment,Surprise +VE,9,46306.0,0.7550512169832226,99.99999999999999,en
