Genre.1,Emotions.1,posts,total_reach,reach_share_pct,cum_reach_pct,language
Crime,Shock -VE,12,15444.0,30.118179336167554,30.118179336167554,ml
Current-Affairs,Surprise +VE,17,14061.0,27.421116268185187,57.539295604352745,ml
Current-Affairs,Shock -VE,19,8447.0,16.47295136315769,74.01224696751044,ml
International Politics,Shock -VE,7,4814.0,9.388041655290769,83.4002886228012,ml
Entertainment,Surprise +VE,7,3050.0,5.94796988962128,89.34825851242248,ml
International Politics,Fear/Concern,7,2040.0,3.9783142868286596,93.32657279925114,ml
Current-Affairs,Happiness,5,864.0,1.6849331097156675,95.01150590896681,ml
Politics,Surprise +VE,7,851.0,1.6595811069074458,96.67108701587426,ml
Business,Shock -VE,7,691.0,1.3475564569601,98.01864347283437,ml
Politics,Curiosity,5,620.0,1.209095518545965,99.22773899138033,ml
Current-Affairs,Curiosity,5,396.0,0.7722610086196809,100.00000000000001,ml
