Genre.1,Emotions.1,posts,total_reach,reach_share_pct,cum_reach_pct,language
Politics,excitement,4,14,11.864406779661017,11.864406779661017,ta
Off-beat,excitement,3,10,8.47457627118644,20.338983050847457,ta
Curent-Affairs,Surprise,1,7,5.932203389830509,26.271186440677965,ta
Curent-Affairs,Shocking,1,7,5.932203389830509,32.20338983050847,ta
Politics,Controversy,1,7,5.932203389830509,38.135593220338976,ta
Crime,Shocking,2,7,5.932203389830509,44.06779661016948,ta
Off-beat,Shocking,3,7,5.932203389830509,49.999999999999986,ta
Entertainment,Shocking,2,6,5.084745762711865,55.08474576271185,ta
Entertainment,Controversy,2,5,4.23728813559322,59.322033898305065,ta
Lifestyle,Shocking,2,5,4.23728813559322,63.55932203389828,ta
Business,excitement,2,4,3.389830508474576,66.94915254237286,ta
Curent-Affairs,Controversy,1,3,2.5423728813559325,69.49152542372879,ta
Spiritual,excitement,1,3,2.5423728813559325,72.03389830508472,ta
Off-beat,Controversy,1,3,2.5423728813559325,74.57627118644065,ta
Entertainment,Gossip,1,3,2.5423728813559325,77.11864406779658,ta
Curent-Affairs,excitement,1,3,2.5423728813559325,79.66101694915251,ta
Current Affairs,Controversy,1,2,1.694915254237288,81.3559322033898,ta
Entertainment,empathy,1,2,1.694915254237288,83.05084745762709,ta
Job,excitement,1,2,1.694915254237288,84.74576271186437,ta
Off-beat,Shock,1,2,1.694915254237288,86.44067796610166,ta
Off-beat,Spiritual,1,2,1.694915254237288,88.13559322033895,ta
Politics,Curious,1,2,1.694915254237288,89.83050847457623,ta
Politics,Shocking,1,2,1.694915254237288,91.52542372881352,ta
Sports,Controversy,1,2,1.694915254237288,93.22033898305081,ta
Sports,Emotion,1,2,1.694915254237288,94.9152542372881,ta
Sports,Pride,1,2,1.694915254237288,96.61016949152538,ta
Sports,excitement,1,2,1.694915254237288,98.30508474576267,ta
Lifestyle,Fear/Concern,2,2,1.694915254237288,99.99999999999996,ta
