Genre.1,posts,total_reach,reach_share_pct,cum_reach_pct,language
Politics,7,25,21.1864406779661,21.1864406779661,ta
Off-beat,9,24,20.33898305084746,41.525423728813564,ta
Curent-Affairs,4,20,16.94915254237288,58.47457627118644,ta
Entertainment,6,16,13.559322033898304,72.03389830508475,ta
Sports,4,8,6.779661016949152,78.8135593220339,ta
Crime,2,7,5.932203389830509,84.7457627118644,ta
Lifestyle,4,7,5.932203389830509,90.6779661016949,ta
Business,2,4,3.389830508474576,94.06779661016948,ta
Spiritual,1,3,2.5423728813559325,96.61016949152541,ta
Job,1,2,1.694915254237288,98.3050847457627,ta
Current Affairs,1,2,1.694915254237288,99.99999999999999,ta
