Genre.1,Emotions.1,posts
Entertainment,Controversy,45
Current-Affairs,Shock -VE,41
Crime,Shock -VE,38
Off-beat,Shock -VE,21
Current-Affairs,Fear/Concern,20
Entertainment,Curiosity,20
Current-Affairs,Surprise +VE,16
Politics,Surprise +VE,15
Sports,Happiness,15
Entertainment,Shock -VE,14
Politics,Shock -VE,14
Current-Affairs,Breaking News,14
Business,Shock -VE,14
Off-beat,Surprise +VE,14
Entertainment,Surprise +VE,13
Politics,Controversy,13
Off-beat,Heartwarming,13
Current-Affairs,Controversy,13
Politics,Curiosity,13
Entertainment,Sadness,11
Current-Affairs,Sadness,11
Entertainment,Happiness,11
Sports,Curiosity,11
Sports,Surprise +VE,11
Sports,Controversy,11
International Politics,Shock -VE,10
Current-Affairs,Happiness,10
Current-Affairs,Curiosity,10
Entertainment,Pride,9
International Politics,Fear/Concern,9
Current-Affairs,Wow! Amazing!,8
Entertainment,Fandom,8
Off-beat,Happiness,7
Current-Affairs,Anger,7
Entertainment,Wow! Amazing!,7
Off-beat,Curiosity,7
Sports,Pride,7
Business,Surprise +VE,6
Politics,Pride,6
Off-beat,Funny,6
Sports,Sadness,6
Crime,Anger,6
Lifestyle,Curiosity,6
Sports,Wow! Amazing!,5
Off-beat,Wow! Amazing!,5
Sports,Breaking News,5
Entertainment,Fear/Concern,5
Off-beat,Controversy,5
Lifestyle,Fear/Concern,5
Off-beat,Fear/Concern,4
Sports,Fandom,4
Off-beat,Anger,4
Sports,Shock -VE,3
Sports,Heartwarming,3
Lifestyle,Shock -VE,3
Politics,Breaking News,3
Lifestyle,Surprise +VE,3
Crime,Surprise +VE,3
Entertainment,Breaking News,3
Current-Affairs,Heartwarming,3
Current-Affairs,Pride,3
Politics,Wow! Amazing!,3
Off-beat,Sadness,3
International Politics,Breaking News,3
Off-beat,Motivation,3
Int others,Curiosity,3
Business,Curiosity,3
Entertainment,Funny,3
Current-Affairs,Devotion/Spiritual,2
Entertainment,Patriotism,2
Crime,Sadness,2
Business,Wow! Amazing!,2
Entertainment,Heartwarming,2
Sports,Awe/ I didn't know that!,2
Lifestyle,Wow! Amazing!,2
Int others,Controversy,2
Int others,Shock -VE,2
Off-beat,Pride,2
Politics,Anger,2
Crime,Curiosity,1
Crime,Controversy,1
Crime,Happiness,1
Entertainment,Motivation,1
Entertainment,Anger,1
Crime,Wow! Amazing!,1
Current-Affairs,Patriotism,1
Current-Affairs,Concern,1
Current-Affairs,Awe/ I didn't know that!,1
Business,Breaking News,1
Business,Awe/ I didn't know that!,1
Business,Heartwarming,1
Business,Controversy,1
Business,Fear/Concern,1
Business,Happiness,1
Crime,Fear/Concern,1
International Politics,Curiosity,1
Int others,Surprise +VE,1
International Politics,Anger,1
Off-beat,Patriotism,1
Lifestyle,Devotion/Spiritual,1
Lifestyle,Sadness,1
International Politics,Happiness,1
International Politics,Pride,1
International Politics,Patriotism,1
International Politics,Surprise +VE,1
Lifestyle,Awe/ I didn't know that!,1
Politics,Heartwarming,1
Politics,Fear/Concern,1
Politics,Funny,1
Politics,Happiness,1
Politics,Awe/ I didn't know that!,1
Sports,Devotion/Spiritual,1
Sports,Fear/Concern,1
Sports,Motivation,1
