Genre.1,Emotions.1,posts,median_reach,mean_reach,p75_reach,max_reach,lift_vs_label_median_pct
Business,Awe/ I didn't know that!,1,1117.0,1117.0,1117.0,1117.0,36.38583638583639
Business,Breaking News,1,3269.0,3269.0,3269.0,3269.0,299.14529914529913
Business,Controversy,1,34.0,34.0,34.0,34.0,-95.84859584859585
Business,Curiosity,3,32.0,1078.6666666666667,1607.0,3182.0,-96.09279609279609
Business,Fear/Concern,1,737.0,737.0,737.0,737.0,-10.01221001221001
Business,Happiness,1,38.0,38.0,38.0,38.0,-95.36019536019535
Business,Heartwarming,1,0.0,0.0,0.0,0.0,-100.0
Business,Shock -VE,14,27.5,2625.6428571428573,38.5,35046.0,-96.64224664224665
Business,Surprise +VE,6,35.5,37.166666666666664,41.25,51.0,-95.66544566544567
Business,Wow! Amazing!,2,1167.5,1167.5,1409.75,1652.0,42.55189255189256
Crime,Anger,6,30.0,1280.8333333333333,1528.0,5563.0,-96.33699633699634
Crime,Controversy,1,70.0,70.0,70.0,70.0,-91.45299145299145
Crime,Curiosity,1,36.0,36.0,36.0,36.0,-95.6043956043956
Crime,Fear/Concern,1,56.0,56.0,56.0,56.0,-93.16239316239316
Crime,Happiness,1,25.0,25.0,25.0,25.0,-96.94749694749694
Crime,Sadness,2,32.0,32.0,39.0,46.0,-96.09279609279609
Crime,Shock -VE,38,49.5,1144.2631578947369,1556.25,6052.0,-93.95604395604396
Crime,Surprise +VE,3,38.0,33.666666666666664,47.5,57.0,-95.36019536019535
Crime,Wow! Amazing!,1,717.0,717.0,717.0,717.0,-12.454212454212454
Cultural,Devotion/Spiritual,5,932.0,11905.4,1732.0,56830.0,13.797313797313793
Cultural,Happiness,1,1382.0,1382.0,1382.0,1382.0,68.74236874236874
Cultural,Wow! Amazing!,1,529.0,529.0,529.0,529.0,-35.409035409035404
Current-Affairs,Anger,7,1744.0,1947.4285714285713,2374.0,3887.0,112.94261294261294
Current-Affairs,Awe/ I didn't know that!,1,33.0,33.0,33.0,33.0,-95.97069597069597
Current-Affairs,Breaking News,14,1168.0,1497.142857142857,1598.75,7670.0,42.61294261294262
Current-Affairs,Concern,1,1400.0,1400.0,1400.0,1400.0,70.94017094017093
Current-Affairs,Controversy,13,1545.0,1208.6153846153845,1775.0,4391.0,88.64468864468864
Current-Affairs,Curiosity,10,1099.5,1094.6,2036.5,2566.0,34.24908424908424
Current-Affairs,Devotion/Spiritual,2,25.5,25.5,27.75,30.0,-96.88644688644689
Current-Affairs,Fear/Concern,20,1755.0,3162.0,3078.5,25664.0,114.28571428571428
Current-Affairs,Happiness,10,45.5,310.0,509.5,1446.0,-94.44444444444444
Current-Affairs,Heartwarming,3,19.0,21.666666666666668,25.0,31.0,-97.68009768009767
Current-Affairs,Patriotism,1,1351.0,1351.0,1351.0,1351.0,64.95726495726495
Current-Affairs,Pride,3,2121.0,1507.0,2247.0,2373.0,158.97435897435898
Current-Affairs,Sadness,11,26.0,571.3636363636364,42.5,3527.0,-96.82539682539682
Current-Affairs,Shock -VE,41,58.0,1276.560975609756,2341.0,7994.0,-92.91819291819291
Current-Affairs,Surprise +VE,16,41.0,618.625,988.0,3538.0,-94.99389499389498
Current-Affairs,Wow! Amazing!,8,25.5,408.5,274.75,2155.0,-96.88644688644689
Entertainment,Anger,1,56.0,56.0,56.0,56.0,-93.16239316239316
Entertainment,Breaking News,3,1388.0,1251.6666666666667,1467.5,1547.0,69.47496947496947
Entertainment,Controversy,45,2552.0,18121.155555555557,4635.0,543465.0,211.5995115995116
Entertainment,Curiosity,20,1514.0,1405.35,2429.25,3642.0,84.85958485958487
Entertainment,Fandom,8,1366.0,1440.5,1870.5,2920.0,66.7887667887668
Entertainment,Fear/Concern,5,1857.0,2875.0,3117.0,6510.0,126.73992673992673
Entertainment,Funny,3,25.0,352.0,520.5,1016.0,-96.94749694749694
Entertainment,Happiness,11,2335.0,2191.0,3275.5,4754.0,185.1037851037851
Entertainment,Heartwarming,2,10519.5,10519.5,15102.75,19686.0,1184.4322344322345
Entertainment,Motivation,1,39.0,39.0,39.0,39.0,-95.23809523809523
Entertainment,Patriotism,2,1472.5,1472.5,1667.25,1862.0,79.7924297924298
Entertainment,Pride,9,1460.0,1455.3333333333333,1746.0,2316.0,78.26617826617827
Entertainment,Sadness,11,1524.0,1947.090909090909,3106.0,6800.0,86.08058608058609
Entertainment,Shock -VE,14,1246.0,2374.4285714285716,2441.25,10969.0,52.13675213675213
Entertainment,Surprise +VE,13,50.0,973.3846153846154,1650.0,4206.0,-93.89499389499389
Entertainment,Wow! Amazing!,7,642.0,641.7142857142857,986.0,1784.0,-21.611721611721613
Int others,Controversy,2,558.0,558.0,816.0,1074.0,-31.868131868131865
Int others,Curiosity,3,1161.0,1387.0,1562.5,1964.0,41.758241758241766
Int others,Shock -VE,2,42746.5,42746.5,56989.75,71233.0,5119.352869352869
Int others,Surprise +VE,1,1892.0,1892.0,1892.0,1892.0,131.013431013431
International Politics,Anger,1,33.0,33.0,33.0,33.0,-95.97069597069597
International Politics,Breaking News,3,1288.0,1067.3333333333333,1592.5,1897.0,57.26495726495726
International Politics,Curiosity,1,1044.0,1044.0,1044.0,1044.0,27.472527472527464
International Politics,Fear/Concern,9,46.0,267.3333333333333,54.0,1212.0,-94.38339438339437
International Politics,Happiness,1,6.0,6.0,6.0,6.0,-99.26739926739927
International Politics,Patriotism,1,19.0,19.0,19.0,19.0,-97.68009768009767
International Politics,Pride,1,1112.0,1112.0,1112.0,1112.0,35.77533577533578
International Politics,Shock -VE,10,45.0,480.5,906.0,1857.0,-94.5054945054945
International Politics,Surprise +VE,1,21.0,21.0,21.0,21.0,-97.43589743589743
Job,Fear/Concern,1,657.0,657.0,657.0,657.0,-19.780219780219777
Job,Shock -VE,4,287.5,457.25,706.0,1234.0,-64.8962148962149
Job,Wow! Amazing!,1,15.0,15.0,15.0,15.0,-98.16849816849816
Lifestyle,Awe/ I didn't know that!,1,35.0,35.0,35.0,35.0,-95.72649572649573
Lifestyle,Curiosity,6,29.0,422.0,862.75,1292.0,-96.45909645909646
Lifestyle,Devotion/Spiritual,1,1902.0,1902.0,1902.0,1902.0,132.23443223443226
Lifestyle,Fear/Concern,5,963.0,776.2,1343.0,1507.0,17.582417582417587
Lifestyle,Sadness,1,2867.0,2867.0,2867.0,2867.0,250.06105006105005
Lifestyle,Shock -VE,3,26.0,27.666666666666668,29.5,33.0,-96.82539682539682
Lifestyle,Surprise +VE,3,48.0,40.666666666666664,52.0,56.0,-94.13919413919413
Lifestyle,Wow! Amazing!,2,438.0,438.0,654.0,870.0,-46.52014652014652
Off-beat,Anger,4,3003.0,2885.75,4530.75,5514.0,266.66666666666663
Off-beat,Controversy,5,24.0,154.4,78.0,632.0,-97.06959706959707
Off-beat,Curiosity,7,1110.0,1608.4285714285713,2278.0,4694.0,35.53113553113554
Off-beat,Fear/Concern,4,52.5,249.25,264.5,869.0,-93.58974358974359
Off-beat,Funny,6,390.0,1092.8333333333333,2115.75,3182.0,-52.38095238095239
Off-beat,Happiness,7,290.0,554.8571428571429,914.0,1606.0,-64.59096459096459
Off-beat,Heartwarming,13,711.0,1477.8461538461538,1667.0,7824.0,-13.186813186813184
Off-beat,Motivation,3,2395.0,1743.0,2605.0,2815.0,192.4297924297924
Off-beat,Patriotism,1,813.0,813.0,813.0,813.0,-0.73260073260073
Off-beat,Pride,2,1922.0,1922.0,2855.5,3789.0,134.6764346764347
Off-beat,Sadness,3,56.0,1249.3333333333333,1867.0,3678.0,-93.16239316239316
Off-beat,Shock -VE,21,2659.0,4700.142857142857,3117.0,49064.0,224.66422466422466
Off-beat,Surprise +VE,14,629.0,1655.4285714285713,1753.5,11266.0,-23.199023199023195
Off-beat,Wow! Amazing!,5,1262.0,1258.6,1349.0,1520.0,54.0903540903541
Patriotic,Patriotism,2,1313.5,1313.5,1962.75,2612.0,60.378510378510384
Politics,Anger,2,214.5,214.5,318.25,422.0,-73.80952380952381
Politics,Awe/ I didn't know that!,1,34.0,34.0,34.0,34.0,-95.84859584859585
Politics,Breaking News,3,823.0,904.3333333333334,1331.5,1840.0,0.48840048840048667
Politics,Controversy,13,60.0,760.1538461538462,936.0,5284.0,-92.67399267399267
Politics,Curiosity,13,45.0,471.0769230769231,1198.0,1946.0,-94.5054945054945
Politics,Fear/Concern,1,1510.0,1510.0,1510.0,1510.0,84.37118437118436
Politics,Funny,1,1414.0,1414.0,1414.0,1414.0,72.64957264957266
Politics,Happiness,1,1090.0,1090.0,1090.0,1090.0,33.089133089133085
Politics,Heartwarming,1,1550.0,1550.0,1550.0,1550.0,89.25518925518925
Politics,Pride,6,1183.0,832.0,1246.25,1320.0,44.44444444444444
Politics,Shock -VE,14,40.0,130.0,50.0,829.0,-95.1159951159951
Politics,Surprise +VE,15,55.0,174.8,68.5,1880.0,-93.28449328449328
Politics,Wow! Amazing!,3,59.0,53.333333333333336,60.5,62.0,-92.7960927960928
Sports,Awe/ I didn't know that!,2,393.0,393.0,572.0,751.0,-52.01465201465201
Sports,Breaking News,5,1105.0,1044.2,1108.0,1307.0,34.92063492063493
Sports,Controversy,11,2017.0,3107.7272727272725,2853.0,14149.0,146.2759462759463
Sports,Curiosity,11,835.0,1330.5454545454545,1248.0,4626.0,1.9536019536019467
Sports,Devotion/Spiritual,1,884.0,884.0,884.0,884.0,7.9365079365079305
Sports,Fandom,4,1642.5,1332.75,1978.75,2032.0,100.54945054945054
Sports,Fear/Concern,1,1286.0,1286.0,1286.0,1286.0,57.02075702075702
Sports,Happiness,15,1169.0,1967.6666666666667,1607.5,13721.0,42.73504273504274
Sports,Heartwarming,3,72.0,744.0,1091.0,2110.0,-91.20879120879121
Sports,Motivation,1,8183.0,8183.0,8183.0,8183.0,899.1452991452992
Sports,Pride,7,1003.0,1182.857142857143,1124.5,2942.0,22.466422466422475
Sports,Sadness,6,28.0,437.1666666666667,707.25,1601.0,-96.58119658119658
Sports,Shock -VE,3,1472.0,1026.6666666666667,1508.5,1545.0,79.73137973137973
Sports,Surprise +VE,11,1303.0,1177.8181818181818,1664.0,3010.0,59.096459096459085
Sports,Wow! Amazing!,5,975.0,1180.8,1698.0,1735.0,19.047619047619047
