Genre.1,Emotions.1,posts,total_reach,median_reach,mean_reach,lift_vs_filtered_median_pct,language
Entertainment,Controversy,33,814971.0,3444.0,24696.090909090908,51.11891180342256,en
Off-beat,Shock -VE,15,98483.0,2831.0,6565.533333333334,24.22114962702939,en
Entertainment,Happiness,8,23990.0,2762.0,2998.75,21.193505923650726,en
Current-Affairs,Shock -VE,18,51543.0,2636.0,2863.5,15.664765247915756,en
Crime,Shock -VE,14,42641.0,2456.5,3045.785714285714,7.788503729706009,en
Entertainment,Curiosity,12,27906.0,2129.0,2325.5,-6.58183413777973,en
Current-Affairs,Fear/Concern,18,63170.0,2077.5,3509.4444444444443,-8.841597191750772,en
Sports,Controversy,11,34185.0,2017.0,3107.7272727272725,-11.496270293988587,en
Entertainment,Pride,8,13051.0,1546.0,1631.375,-32.16322948661694,en
Current-Affairs,Breaking News,10,20888.0,1313.0,2088.8,-42.38701184730145,en
Sports,Happiness,13,29481.0,1185.0,2267.769230769231,-48.003510311540154,en
Sports,Curiosity,9,14583.0,1011.0,1620.3333333333333,-55.63843791136463,en
