Genre.1,Emotions.1,posts,total_reach,median_reach,mean_reach,lift_vs_filtered_median_pct,language
Entertainment,Shocking,13,603,46.0,46.38461538461539,27.777777777777768,ml
Crime,Shocking,36,5050,42.5,140.27777777777777,18.055555555555557,ml
Politics,Happy,10,373,41.0,37.3,13.888888888888884,ml
Politics,Curious,28,1079,40.0,38.535714285714285,11.111111111111116,ml
International Politics,Shocking,20,662,39.0,33.1,8.333333333333325,ml
Business,Shocking,14,491,36.5,35.07142857142857,1.388888888888884,ml
Curent-Affairs,Curious,10,331,35.5,33.1,-1.388888888888884,ml
Business,Happy,15,469,35.0,31.266666666666666,-2.777777777777779,ml
Curent-Affairs,Surprise,8,249,35.0,31.125,-2.777777777777779,ml
Lifestyle,Curious,12,364,33.0,30.333333333333332,-8.333333333333337,ml
Curent-Affairs,Happy,10,290,31.0,29.0,-13.888888888888884,ml
Business,Curious,9,301,31.0,33.44444444444444,-13.888888888888884,ml
Entertainment,Curious,14,463,27.0,33.07142857142857,-25.0,ml
Curent-Affairs,Shocking,32,945,26.0,29.53125,-27.77777777777778,ml
Crime,Anger,15,833,25.0,55.53333333333333,-30.555555555555557,ml
Lifestyle,Shocking,9,226,21.0,25.11111111111111,-41.666666666666664,ml
Entertainment,Happy,18,664,17.0,36.888888888888886,-52.77777777777778,ml
Crime,Curious,8,272,13.0,34.0,-63.888888888888886,ml
