Genre.1,Emotions.1,posts,total_reach,median_reach,mean_reach,lift_vs_filtered_median_pct,language
Politics,Curious,9,430,52.0,47.77777777777778,52.941176470588225,ta
Politics,Shocking,8,318,45.5,39.75,33.823529411764696,ta
Politics,Controversy,16,591,41.5,36.9375,22.058823529411775,ta
Crime,Shocking,10,366,39.0,36.6,14.705882352941169,ta
Curent-Affairs,Shock,15,466,38.0,31.066666666666666,11.764705882352944,ta
Politics,excitement,13,508,38.0,39.07692307692308,11.764705882352944,ta
Politics,Surprise,8,251,36.5,31.375,7.352941176470584,ta
Entertainment,Controversy,15,514,35.0,34.266666666666666,2.941176470588225,ta
Off-beat,Shocking,9,280,35.0,31.11111111111111,2.941176470588225,ta
Curent-Affairs,Happy,10,365,32.0,36.5,-5.882352941176472,ta
Curent-Affairs,Shocking,9,225,28.0,25.0,-17.647058823529417,ta
Lifestyle,Fear/Concern,18,407,27.5,22.61111111111111,-19.11764705882353,ta
Entertainment,Shocking,8,983,24.5,122.875,-27.941176470588236,ta
Curent-Affairs,Fear/Concern,9,204,23.0,22.666666666666668,-32.35294117647059,ta
Lifestyle,Shock,9,189,23.0,21.0,-32.35294117647059,ta
Off-beat,Surprise,8,204,15.0,25.5,-55.88235294117647,ta
Crime,Shock,8,167,12.5,20.875,-63.23529411764706,ta
