Genre.1,Emotions.1,posts,median_reach,mean_reach,p75_reach,max_reach,lift_vs_label_median_pct
Off-beat,Anger,4,3003.0,2885.75,4530.75,5514.0,266.66666666666663
Off-beat,Shock -VE,21,2659.0,4700.142857142857,3117.0,49064.0,224.66422466422466
Entertainment,Controversy,45,2552.0,18121.155555555557,4635.0,543465.0,211.5995115995116
Off-beat,Motivation,3,2395.0,1743.0,2605.0,2815.0,192.4297924297924
Entertainment,Happiness,11,2335.0,2191.0,3275.5,4754.0,185.1037851037851
Current-Affairs,Pride,3,2121.0,1507.0,2247.0,2373.0,158.97435897435898
Sports,Controversy,11,2017.0,3107.7272727272725,2853.0,14149.0,146.2759462759463
Entertainment,Fear/Concern,5,1857.0,2875.0,3117.0,6510.0,126.73992673992673
Current-Affairs,Fear/Concern,20,1755.0,3162.0,3078.5,25664.0,114.28571428571428
Current-Affairs,Anger,7,1744.0,1947.4285714285713,2374.0,3887.0,112.94261294261294
Sports,Fandom,4,1642.5,1332.75,1978.75,2032.0,100.54945054945054
Current-Affairs,Controversy,13,1545.0,1208.6153846153845,1775.0,4391.0,88.64468864468864
Entertainment,Sadness,11,1524.0,1947.090909090909,3106.0,6800.0,86.08058608058609
Entertainment,Curiosity,20,1514.0,1405.35,2429.25,3642.0,84.85958485958487
Sports,Shock -VE,3,1472.0,1026.6666666666667,1508.5,1545.0,79.73137973137973
Entertainment,Pride,9,1460.0,1455.3333333333333,1746.0,2316.0,78.26617826617827
Entertainment,Breaking News,3,1388.0,1251.6666666666667,1467.5,1547.0,69.47496947496947
Entertainment,Fandom,8,1366.0,1440.5,1870.5,2920.0,66.7887667887668
Sports,Surprise +VE,11,1303.0,1177.8181818181818,1664.0,3010.0,59.096459096459085
International Politics,Breaking News,3,1288.0,1067.3333333333333,1592.5,1897.0,57.26495726495726
Off-beat,Wow! Amazing!,5,1262.0,1258.6,1349.0,1520.0,54.0903540903541
Entertainment,Shock -VE,14,1246.0,2374.4285714285716,2441.25,10969.0,52.13675213675213
Politics,Pride,6,1183.0,832.0,1246.25,1320.0,44.44444444444444
Sports,Happiness,15,1169.0,1967.6666666666667,1607.5,13721.0,42.73504273504274
Current-Affairs,Breaking News,14,1168.0,1497.142857142857,1598.75,7670.0,42.61294261294262
Int others,Curiosity,3,1161.0,1387.0,1562.5,1964.0,41.758241758241766
Off-beat,Curiosity,7,1110.0,1608.4285714285713,2278.0,4694.0,35.53113553113554
Sports,Breaking News,5,1105.0,1044.2,1108.0,1307.0,34.92063492063493
Current-Affairs,Curiosity,10,1099.5,1094.6,2036.5,2566.0,34.24908424908424
Sports,Pride,7,1003.0,1182.857142857143,1124.5,2942.0,22.466422466422475
Sports,Wow! Amazing!,5,975.0,1180.8,1698.0,1735.0,19.047619047619047
Lifestyle,Fear/Concern,5,963.0,776.2,1343.0,1507.0,17.582417582417587
Cultural,Devotion/Spiritual,5,932.0,11905.4,1732.0,56830.0,13.797313797313793
Sports,Curiosity,11,835.0,1330.5454545454545,1248.0,4626.0,1.9536019536019467
Politics,Breaking News,3,823.0,904.3333333333334,1331.5,1840.0,0.48840048840048667
Off-beat,Heartwarming,13,711.0,1477.8461538461538,1667.0,7824.0,-13.186813186813184
Entertainment,Wow! Amazing!,7,642.0,641.7142857142857,986.0,1784.0,-21.611721611721613
Off-beat,Surprise +VE,14,629.0,1655.4285714285713,1753.5,11266.0,-23.199023199023195
Off-beat,Funny,6,390.0,1092.8333333333333,2115.75,3182.0,-52.38095238095239
Off-beat,Happiness,7,290.0,554.8571428571429,914.0,1606.0,-64.59096459096459
Job,Shock -VE,4,287.5,457.25,706.0,1234.0,-64.8962148962149
Sports,Heartwarming,3,72.0,744.0,1091.0,2110.0,-91.20879120879121
Politics,Controversy,13,60.0,760.1538461538462,936.0,5284.0,-92.67399267399267
Politics,Wow! Amazing!,3,59.0,53.333333333333336,60.5,62.0,-92.7960927960928
