Genre.1,posts,total_reach,median_reach,mean_reach,lift_vs_filtered_median_pct,language
Crime,56,1243654,3072.0,22208.10714285714,64.93959731543623,en
Entertainment,180,1230499,2232.5,6836.105555555556,19.865771812080535,en
Off-beat,71,568995,2011.0,8014.014084507042,7.973154362416102,en
Current-Affairs,136,338327,1716.0,2487.698529411765,-7.865771812080535,en
International Politics,30,55007,1585.0,1833.5666666666666,-14.8993288590604,en
Sports,77,162171,1472.0,2106.116883116883,-20.966442953020138,en
Lifestyle,8,33916,1444.0,4239.5,-22.469798657718123,en
Politics,18,32094,1183.0,1783.0,-36.48322147651007,en
Politics,38,1452,40.0,38.21052631578947,11.111111111111116,ml
International Politics,20,662,39.0,33.1,8.333333333333325,ml
Crime,59,6155,38.0,104.32203389830508,5.555555555555558,ml
Business,38,1261,35.5,33.18421052631579,-1.388888888888884,ml
Curent-Affairs,60,1815,34.5,30.25,-4.1666666666666625,ml
Entertainment,45,1730,33.0,38.44444444444444,-8.333333333333337,ml
Lifestyle,21,590,27.0,28.095238095238095,-25.0,ml
Crime,36,786,20.0,21.833333333333332,17.647058823529417,hi
Entertainment,10,214,18.0,21.4,5.882352941176472,hi
Off-beat,42,748,17.5,17.80952380952381,2.941176470588225,hi
Sports,9,151,17.0,16.77777777777778,0.0,hi
Current-Affairs,57,1720,16.0,30.17543859649123,-5.882352941176472,hi
International Politics,8,126,14.5,15.75,-14.70588235294118,hi
Politics,54,2098,42.5,38.851851851851855,25.0,ta
Crime,18,533,35.5,29.61111111111111,4.4117647058823595,ta
Entertainment,23,1497,35.0,65.08695652173913,2.941176470588225,ta
Off-beat,17,484,34.0,28.470588235294116,0.0,ta
Curent-Affairs,43,1260,31.0,29.302325581395348,-8.823529411764708,ta
Lifestyle,27,596,25.0,22.074074074074073,-26.470588235294112,ta
