post_created_date,reach,Genre.1,Emotions.1,caption,permalink
2025-12-14,4417,Crime,Shock -VE,,https://www.instagram.com/p/DSP4vGsAEq9/
2025-12-14,2815,Entertainment,Controversy,,https://www.instagram.com/p/DSPXGl9gIxY/
2025-12-14,1446,Sports,Sadness,,https://www.instagram.com/p/DSO9zc3GBjT/
2025-12-14,1499,Crime,Shock -VE,,https://www.instagram.com/p/DSOUtSBDvn7/
2025-12-15,2609,Crime,Anger,,https://www.instagram.com/p/DSSbRJVgA0t/
2025-12-15,1531,Current-Affairs,Anger,,https://www.instagram.com/p/DSSAiIPGEzA/
2025-12-15,2843,Sports,Surprise +VE,,https://www.instagram.com/p/DSQ5go_CA7W/
2025-12-16,2273,Politics,Anger,,https://www.instagram.com/p/DSTeS3yD0Dr/
2025-12-17,2213,Sports,Curiosity,,https://www.instagram.com/p/DSWu0NGDA5Y/
2025-12-18,2234,Sports,Controversy,,https://www.instagram.com/p/DSZb8TigO7H/
2025-12-21,2110,Sports,Shock -VE,,https://www.instagram.com/p/DSh49_AgKmy/
2025-12-21,1424,Off-beat,Surprise +VE,,https://www.instagram.com/p/DShikcPj5iM/
2025-12-22,2807,Current-Affairs,Anger,,https://www.instagram.com/p/DSkfDGSAPwY/
2025-12-22,3444,Entertainment,Shock -VE,,https://www.instagram.com/p/DSkAouQAJBJ/
2025-12-23,1852,Business,Breaking News,,https://www.instagram.com/p/DSnL6MDCbI9/
2025-12-23,3708,Business,Surprise +VE,,https://www.instagram.com/p/DSms4ZNCSCk/
2025-12-24,2424,Sports,Happiness,,https://www.instagram.com/p/DSpoxj6CXXQ/
2025-12-24,1612,International Politics,Shock -VE,,https://www.instagram.com/p/DSpM1PwDrPG/
2025-12-24,2800,Int others,Funny,,https://www.instagram.com/p/DSotUVjFKKv/
2025-12-25,3150,International Politics,Anger,,https://www.instagram.com/p/DSq4YkvDuSJ/
2025-12-25,3961,International Politics,Anger,,https://www.instagram.com/p/DSsNbg3DymS/
2025-12-25,2030,Off-beat,Surprise +VE,,https://www.instagram.com/p/DSrkwWPmPAS/
2025-12-26,1775,Politics,Anger,,https://www.instagram.com/p/DSteFXJCX6B/
2025-12-27,4340,Off-beat,Surprise +VE,,https://www.instagram.com/p/DSxdXxdCZqS/
2025-12-28,3934,Crime,Shock -VE,,https://www.instagram.com/p/DSylv-1mNOU/
2025-12-28,1505,Entertainment,Fandom,,https://www.instagram.com/p/DSz306ngA3w/
2025-12-28,1664,Current-Affairs,Surprise +VE,,https://www.instagram.com/p/DSzOyv-GGOP/
2025-12-29,2707,Entertainment,Fandom,,https://www.instagram.com/p/DS1K-QKGGx1/
2025-12-29,3934,Current-Affairs,Shock -VE,,https://www.instagram.com/p/DS2EpDjjVp2/
2025-12-29,3407,Crime,Anger,,https://www.instagram.com/p/DS1mOsnmF7v/
2025-12-30,4434,Entertainment,Controversy,,https://www.instagram.com/p/DS3wUUzmCH2/
2025-12-30,4315,International Politics,Anger,,https://www.instagram.com/p/DS4_B0aiVUz/
2025-12-30,5186,Entertainment,Shock -VE,,https://www.instagram.com/p/DS4wGFDCZGy/
2025-12-31,1634,Entertainment,Surprise +VE,,https://www.instagram.com/p/DS7hp0mifDp/
2025-12-31,3499,Entertainment,Controversy,,https://www.instagram.com/p/DS63iThmCdx/
2026-01-01,1928,Lifestyle,Surprise +VE,,https://www.instagram.com/p/DS88FMKCbDD/
2026-01-01,2667,International Politics,Anger,,https://www.instagram.com/p/DS-RgOPiVO1/
2026-01-01,12577,Lifestyle,Fear/Concern,,https://www.instagram.com/p/DS9yWy9Cf0X/
2026-01-01,4460,Entertainment,Fandom,,https://www.instagram.com/p/DS9XPHkiSx8/
2026-01-02,2993,Job,Surprise +VE,,https://www.instagram.com/p/DTAxG3SCfUR/
2026-01-02,1452,International Politics,Anger,,https://www.instagram.com/p/DTAPUdsibiI/
