post_created_date,reach,Genre.1,Emotions.1,caption,permalink
2026-01-06,9,Breaking/Politics,Sad,,https://www.instagram.com/p/DTK2WFaE1lo/
2026-01-06,7,"Current affairs, Breaking",Shock,,https://www.instagram.com/p/DTKkCzdkyMu/
2026-01-07,11,Lifestyle,Pride,,https://www.instagram.com/p/DTM0fKQk5Mf/
2026-01-08,6,International Politics,Patriotism,,https://www.instagram.com/p/DTQD8_nk3DL/
2026-01-18,8,Arts,Happy,,https://www.instagram.com/p/DTpnQ8LEzc0/
2026-01-19,9,Crime,Shock,,https://www.instagram.com/p/DTs07Mbk1pi/
2026-01-20,7,Informative,Happy,,https://www.instagram.com/p/DTudKmNEhY6/
2026-01-20,9,Sports,Sad,,https://www.instagram.com/p/DTuREn7jjRt/
2026-01-20,8,Informative,Shock,,https://www.instagram.com/p/DTva3WYDkJ5/
2026-01-20,6,Sports,Sad,,https://www.instagram.com/p/DTu1nuvjGMb/
2026-01-21,6,Lifestyle,Shock,,https://www.instagram.com/p/DTw6x6oCevS/
2026-01-21,8,International,Shock,,https://www.instagram.com/p/DTxekkojz1Q/
2026-01-22,8,Crime,Shocking,,https://www.instagram.com/p/DTzmHMGDADH/
2026-01-22,7,current,Curious,,https://www.instagram.com/p/DT0ZH9OD3KG/
2026-01-22,14,Politics,Curious,,https://www.instagram.com/p/DT0FAgkjexf/
2026-01-23,9,current,Curious,,https://www.instagram.com/p/DT2RzJdjIAi/
2026-01-23,10,Crime,Sad,,https://www.instagram.com/p/DT181U_jGjF/
2026-01-24,10,Politics,Curious,,https://www.instagram.com/p/DT4pftGjeok/
2026-01-25,13,Current affairs,Happy,,https://www.instagram.com/p/DT8NrsRDd-I/
2026-01-25,10,Politics,Curious,,https://www.instagram.com/p/DT7yEmgiRm7/
2026-01-25,10,Crime,Shocking,,https://www.instagram.com/p/DT7jhDiDIA1/
2026-01-26,0,Patriotic,Patriotism,,https://www.instagram.com/reel/DT9u8AQgU61/
2026-01-26,13,Food,Curious,,https://www.instagram.com/p/DT-ukiDjI83/
2026-01-27,10,Politics,Shocking,,https://www.instagram.com/p/DUBA18PAX4b/
2026-01-28,11,Breaking,Sad,,https://www.instagram.com/p/DUCtGHwj_n_/
2026-01-28,13,Current,Curious,,https://www.instagram.com/p/DUCkBk2gW6T/
2026-01-29,7,Health,Happy,,https://www.instagram.com/p/DUFeIsVAZKG/
2026-01-30,11,entertainment,Curious,,https://www.instagram.com/p/DUIWp-cj6IW/
2026-01-30,10,Business,Curious,,https://www.instagram.com/p/DUH_VusF7RZ/
2026-01-31,7,current,excitement,,https://www.instagram.com/p/DULmA8dj7kg/
2026-01-31,11,business,Curious,,https://www.instagram.com/p/DULYyBaDaNu/
2026-02-01,9,Sports,Surprise,,https://www.instagram.com/p/DUOFjEfE69i/
2026-02-01,8,business,Curious,,https://www.instagram.com/p/DUNzOujE6_v/
2026-02-01,9,current,sad,,https://www.instagram.com/p/DUNbLGlkn6J/
2026-02-02,8,business,Happy,,https://www.instagram.com/p/DUQ1UTlDroa/
2026-02-02,7,Entertainment,Happy,,https://www.instagram.com/p/DUQxZjAjlzC/
2026-02-02,9,business,Happy,,https://www.instagram.com/p/DUQUy9WE0PB/
2026-02-02,9,Entertainment,empathy,,https://www.instagram.com/p/DUP1SiAEtCP/
2026-02-03,6,Crime,Curious,,https://www.instagram.com/p/DUS_1U_Giai/
2026-02-03,17,Entertainment,sad,,https://www.instagram.com/p/DUSgVwiDMnE/
2026-02-03,7,Spiritual,Curious,,https://www.instagram.com/p/DUSabc0mtzv/
2026-02-04,7,Entertainment,Curious,,https://www.instagram.com/p/DUVobBiEztb/
2026-02-04,8,Crime,Curious,,https://www.instagram.com/p/DUVgcBBmtmH/
2026-02-04,9,Automotive,Curious,,https://www.instagram.com/p/DUVLot0GsMs/
2026-02-04,17,Crime,Shocking,,https://www.instagram.com/p/DUU85SslUHN/
2026-02-05,9,Crime,Shocking,,https://www.instagram.com/p/DUXpf7GDnXo/
2026-02-05,9,Lifestyle,Shocking,,https://www.instagram.com/p/DUXYhP1glCQ/
2026-02-06,10,Sports,Happy,,https://www.instagram.com/p/DUa_omllRSp/
2026-02-06,12,Crime,Shock,,https://www.instagram.com/p/DUa8SOUE3Gb/
2026-02-06,8,Politics,Surprise,,https://www.instagram.com/p/DUaq9buEyQv/
2026-02-06,13,Crime,Shocking,,https://www.instagram.com/p/DUZ5mHtjLak/
2026-02-07,0,Current-Affairs,Controversy,,https://www.instagram.com/reel/DUdGTDbANZj/
2026-02-07,10,Politics,proud,,https://www.instagram.com/p/DUdZn_5k7Ae/
2026-02-07,12,Crime,Curious,,https://www.instagram.com/p/DUdJhXGE2Ow/
2026-02-07,6,Politics,Happy,,https://www.instagram.com/p/DUcy9qIgprv/
2026-02-07,11,Sports,Surprize,,https://www.instagram.com/p/DUdmxDxifEH/
2026-02-07,15,Current-Affairs,Breaking News,,https://www.instagram.com/p/DUdX--YCV8A/
2026-02-07,15,International Politics,Pride,,https://www.instagram.com/p/DUdEdBXCfQk/
2026-02-07,15,Crime,Shock,,https://www.instagram.com/p/DUcmEqiEfz0/
2026-02-07,16,Current-Affairs,Breaking News,,https://www.instagram.com/p/DUcTqBXCV2g/
2026-02-08,9,Crime,Anger,,https://www.instagram.com/p/DUf_OFcjF1j/
2026-02-08,14,Politics,Shock,,https://www.instagram.com/p/DUfxlOwmPFo/
2026-02-08,9,Lifestyle,Emotion,,https://www.instagram.com/p/DUfjpewCn_C/
2026-02-08,7,Business,Curious,,https://www.instagram.com/p/DUfY85nk4rb/
2026-02-08,17,Current-Affairs,wow,,https://www.instagram.com/p/DUfykkMCYnb/
2026-02-08,9,Politics,Shock,,https://www.instagram.com/p/DUfLC9jEWxn/
2026-02-08,13,Int others,Anger/ Rage,,https://www.instagram.com/p/DUewNE6iZvc/
2026-02-09,15,Current-Affairs,wow,,https://www.instagram.com/p/DUir6VLCcbT/
2026-02-09,13,Offbeat,wow,,https://www.instagram.com/p/DUibUAdCb5v/
2026-02-09,16,Sports,suprise,,https://www.instagram.com/p/DUhu6GnCbKp/
2026-02-09,13,Current-Affairs,Breaking News,,https://www.instagram.com/p/DUhavDMCTYP/
2026-02-09,11,Crime,Anger,,https://www.instagram.com/p/DUizCgJGGw0/
2026-02-09,7,Business,Shocking,,https://www.instagram.com/p/DUiTtJWk0XK/
2026-02-09,6,Politics,Curious,,https://www.instagram.com/p/DUh_aREGDpi/
2026-02-09,7,Crime,Anger,,https://www.instagram.com/p/DUh2DE4Ajgt/
2026-02-09,12,Crime,Shock,,https://www.instagram.com/p/DUiGarEE99G/
2026-02-10,14,Sports,Happiness/ Joy,,https://www.instagram.com/p/DUkLCNYCTvJ/
2026-02-10,17,Current-Affairs,Sadness,,https://www.instagram.com/p/DUj74jHCQo8/
2026-02-10,7,Crime,Curious,,https://www.instagram.com/p/DUkRVgnE71i/
2026-02-10,7,Sports,Shock,,https://www.instagram.com/p/DUkK2bmGD-M/
2026-02-10,17,Crime,Sadness,,https://www.instagram.com/p/DUlC3oEEzAl/
2026-02-10,16,Crime,Shock -VE,,https://www.instagram.com/p/DUkrU-qE80h/
2026-02-10,15,Crime,Shock -VE,,https://www.instagram.com/p/DUkZNUXk8bK/
2026-02-10,6,Sports,Curious,,https://www.instagram.com/p/DUk1i2VAgh0/
2026-02-10,7,Job,Proud,,https://www.instagram.com/p/DUkv3vZgmR3/
2026-02-10,11,Politics,Happy,,https://www.instagram.com/p/DUkhRr3AgpA/
2026-02-10,5,Entertainment,Surprise,,https://www.instagram.com/p/DUkZ9hmk99H/
2026-02-10,6,Off-beat,Surprise,,https://www.instagram.com/p/DUk891WE1SQ/
2026-02-10,13,Crime,Shock,,https://www.instagram.com/p/DUkoxUbEzcd/
2026-02-11,7,Current-Affairs,Breaking News,,https://www.instagram.com/p/DUmeulbEyDi/
2026-02-11,9,Current-Affairs,Anger/ Rage,,https://www.instagram.com/p/DUng2UWj0ss/
2026-02-11,14,Entertainment,Shock -VE,,https://www.instagram.com/p/DUnTW4jFEW8/
2026-02-11,10,International Politics,Funny/ Laughter,,https://www.instagram.com/p/DUnKaiYk77N/
2026-02-11,11,Sports,Sadness,,https://www.instagram.com/p/DUm9Z9Yj63w/
2026-02-11,8,Current-Affairs,Patriotism,,https://www.instagram.com/p/DUmzQIGAm3X/
2026-02-11,6,Entertainment,Surprise,,https://www.instagram.com/p/DUnpyp4F403/
2026-02-11,7,Curent-Affairs,Curious,,https://www.instagram.com/p/DUnaDM1DPBR/
2026-02-11,5,Curent-Affairs,Shocking,,https://www.instagram.com/p/DUnR7BADWBF/
2026-02-11,13,Crime,Anger,,https://www.instagram.com/p/DUnDaU3k1Hz/
2026-02-11,7,Curent-Affairs,Pride,,https://www.instagram.com/p/DUmzup-k3WF/
2026-02-11,10,Off-beat,Curious,,https://www.instagram.com/p/DUmuMl_Aory/
2026-02-11,6,Lifestyle,Surprise,,https://www.instagram.com/p/DUn2fb3D6wO/
2026-02-11,6,Lifestyle,Shock,,https://www.instagram.com/p/DUnfK3JDaeI/
2026-02-11,7,Patriotic,Pride,,https://www.instagram.com/p/DUnM-TQE9EG/
2026-02-11,6,Lifestyle,Fear/Concern,,https://www.instagram.com/p/DUm2ZWDgmj3/
2026-02-12,17,Lifestyle,Fear/ Concern,,https://www.instagram.com/p/DUpHD6qCZfP/
2026-02-12,11,Int others,Shock -VE,,https://www.instagram.com/p/DUqcDDwDLFT/
2026-02-12,13,Crime,Shock -VE,,https://www.instagram.com/p/DUp4QTpE2wi/
2026-02-12,13,International Politics,Sadness,,https://www.instagram.com/p/DUpr3MEDsGp/
2026-02-12,13,Off-beat,Funny/ Laughter,,https://www.instagram.com/p/DUpkYKJERSy/
2026-02-12,15,Current-Affairs,Wow! Amazing!,,https://www.instagram.com/p/DUpTrbxgaqX/
2026-02-12,6,Curent-Affairs,Shocking,,https://www.instagram.com/p/DUp_LjwDLiP/
2026-02-12,10,Entertainment,Gossip,,https://www.instagram.com/p/DUp361EjKzA/
2026-02-12,7,Entertainment,Happy,,https://www.instagram.com/p/DUpsytFkya_/
2026-02-12,5,Lifestyle,Happy,,https://www.instagram.com/p/DUpcQ44gsEj/
2026-02-12,10,Lifestyle,Shocking,,https://www.instagram.com/p/DUpWCiOAQG2/
2026-02-12,7,Off-beat,Shocking,,https://www.instagram.com/p/DUqSeZvAYj1/
