Genre.1,posts,total_reach,reach_share_pct,cum_reach_pct,language
Entertainment,61,879918.0,71.25465222869693,71.25465222869693,en
Current-Affairs,46,135601.0,10.980798320824817,82.23545054952174,en
Off-beat,15,98483.0,7.975029395283151,90.21047994480489,en
Sports,33,78249.0,6.33650554056549,96.54698548537039,en
Crime,14,42641.0,3.4530145146296194,100.0,en
Current-Affairs,22,747.0,49.209486166007906,49.209486166007906,ml
Crime,12,495.0,32.608695652173914,81.81818181818181,ml
Business,10,276.0,18.181818181818183,100.0,ml
Crime,9,180.0,32.5497287522604,32.5497287522604,hi
Entertainment,6,175.0,31.645569620253166,64.19529837251356,hi
Current-Affairs,5,115.0,20.795660036166367,84.99095840867993,hi
Off-beat,5,83.0,15.009041591320072,100.0,hi
Politics,29,1467.0,85.19163763066202,85.19163763066202,ta
Current-Affairs,5,255.0,14.80836236933798,100.0,ta
