Genre.1,Emotions.1,posts,total_reach,reach_share_pct,cum_reach_pct,language
Crime,Shock -VE,42,1206314,32.917460623255124,32.917460623255124,en
Entertainment,Controversy,58,930100,25.38023277993092,58.297693403186045,en
Off-beat,Heartwarming,14,258674,7.058602660053598,65.35629606323964,en
Off-beat,Shock -VE,21,143200,3.9075898656984283,69.26388592893807,en
Current-Affairs,Shock -VE,42,107001,2.9198046314217705,72.18369056035984,en
Current-Affairs,Fear/Concern,15,98105,2.6770537973068738,74.8607443576667,en
Off-beat,Curiosity,9,86176,2.351539554933155,77.21228391259986,en
Off-beat,Surprise +VE,19,67803,1.8501837686030067,79.06246768120286,en
Entertainment,Shock -VE,18,66683,1.819621613228829,80.8820892944317,en
Sports,Controversy,19,60298,1.6453900399572892,82.52747933438899,en
Entertainment,Happiness,25,58698,1.6017298179941784,84.12920915238317,en
Entertainment,Curiosity,24,55100,1.5035488938546326,85.6327580462378,en
Entertainment,Surprise +VE,15,41054,1.1202667202959726,86.75302476653377,en
Entertainment,Fandom,20,40471,1.104358026918164,87.85738279345193,en
Current-Affairs,Anger,21,39507,1.0780527431853897,88.93543553663733,en
Sports,Happiness,18,39439,1.0761971837519575,90.01163272038929,en
Current-Affairs,Breaking News,20,39006,1.0643816361831906,91.07601435657247,en
Crime,Anger,14,37340,1.0189204300641015,92.09493478663657,en
Lifestyle,Fear/Concern,8,33916,0.9254875550630439,93.02042234169961,en
Sports,Pride,20,29608,0.8079324074273678,93.82835474912699,en
International Politics,Anger,11,24600,0.6712759126828306,94.49963066180982,en
Politics,Shock -VE,9,23311,0.6361021463637994,95.13573280817361,en
Sports,Surprise +VE,12,23284,0.6353653801181718,95.77109818829179,en
Current-Affairs,Surprise +VE,16,23065,0.629389387236971,96.40048757552876,en
Current-Affairs,Controversy,13,20990,0.5727675368785615,96.97325511240732,en
Entertainment,Pride,12,19983,0.5452888846805286,97.51854399708785,en
Entertainment,Sadness,8,18410,0.5023654289630451,98.02090942605089,en
International Politics,Breaking News,10,16362,0.44648034485026317,98.46738977090115,en
International Politics,Shock -VE,9,14045,0.3832548859199332,98.85064465682109,en
Off-beat,Pride,8,13142,0.35861414814950243,99.20925880497059,en
Current-Affairs,Curiosity,9,10653,0.29069521535813797,99.49995402032873,en
Sports,Breaking News,8,9542,0.2603786487325028,99.76033266906123,en
Politics,Pride,9,8783,0.23966733093875206,99.99999999999999,en
