Genre.1,Emotions.1,posts,total_reach,reach_share_pct,cum_reach_pct,language
Current-Affairs,Happiness/ Joy,9,949,25.34045393858478,25.34045393858478,hi
Crime,Shock -VE,23,437,11.668891855807743,37.00934579439252,hi
Crime,Anger/ Rage,13,349,9.31909212283044,46.32843791722296,hi
Current-Affairs,Shock -VE,19,329,8.785046728971963,55.11348464619493,hi
Current-Affairs,Breaking News,20,310,8.277703604806408,63.39118825100134,hi
Off-beat,Surprise +VE,15,270,7.209612817089453,70.60080106809079,hi
Off-beat,Funny/ Laughter,14,246,6.568758344459279,77.16955941255007,hi
Off-beat,Shock -VE,13,232,6.194926568758344,83.36448598130842,hi
Entertainment,Controvery,10,214,5.714285714285714,89.07877169559413,hi
Sports,Happiness/ Joy,9,151,4.032042723631508,93.11081441922563,hi
Current-Affairs,Wow! Amazing!,9,132,3.5246995994659547,96.6355140186916,hi
International Politics,Breaking News,8,126,3.364485981308411,100.0,hi
