Genre.1,Emotions.1,posts,total_reach,reach_share_pct,cum_reach_pct,language
Crime,Shocking,36,5050,36.95572630808635,36.95572630808635,ml
Politics,Curious,28,1079,7.896084888401024,44.851811196487375,ml
Curent-Affairs,Shocking,32,945,6.915477497255764,51.76728869374314,ml
Crime,Anger,15,833,6.095865349432858,57.863154043175996,ml
Entertainment,Happy,18,664,4.8591291620929375,62.72228320526894,ml
International Politics,Shocking,20,662,4.844493230881815,67.56677643615075,ml
Entertainment,Shocking,13,603,4.412733260153677,71.97950969630442,ml
Business,Shocking,14,491,3.5931211123307722,75.5726308086352,ml
Business,Happy,15,469,3.4321258690084155,79.00475667764361,ml
Entertainment,Curious,14,463,3.3882180753750455,82.39297475301866,ml
Politics,Happy,10,373,2.729601170874497,85.12257592389317,ml
Lifestyle,Curious,12,364,2.663739480424442,87.7863154043176,ml
Curent-Affairs,Curious,10,331,2.4222466154409075,90.20856201975852,ml
Business,Curious,9,301,2.202707647274058,92.41126966703257,ml
Curent-Affairs,Happy,10,290,2.1222100256128797,94.53347969264544,ml
Crime,Curious,8,272,1.99048664471277,96.52396633735822,ml
Curent-Affairs,Surprise,8,249,1.8221734357848518,98.34613977314307,ml
Lifestyle,Shocking,9,226,1.6538602268569336,100.0,ml
