Genre.1,Emotions.1,posts,total_reach,reach_share_pct,cum_reach_pct,language
Entertainment,Shocking,8,983,15.197897340754485,15.197897340754485,ta
Politics,Controversy,16,591,9.137291280148423,24.33518862090291,ta
Entertainment,Controversy,15,514,7.946815089672232,32.28200371057514,ta
Politics,excitement,13,508,7.854050711193568,40.136054421768705,ta
Curent-Affairs,Shock,15,466,7.20470006184292,47.340754483611626,ta
Politics,Curious,9,430,6.648113790970934,53.98886827458256,ta
Lifestyle,Fear/Concern,18,407,6.292517006802721,60.281385281385276,ta
Crime,Shocking,10,366,5.658627087198516,65.9400123685838,ta
Curent-Affairs,Happy,10,365,5.643166357452071,71.58317872603587,ta
Politics,Shocking,8,318,4.916512059369202,76.49969078540506,ta
Off-beat,Shocking,9,280,4.329004329004329,80.8286951144094,ta
Politics,Surprise,8,251,3.8806431663574523,84.70933828076686,ta
Curent-Affairs,Shocking,9,225,3.4786641929499074,88.18800247371676,ta
Curent-Affairs,Fear/Concern,9,204,3.153988868274583,91.34199134199135,ta
Off-beat,Surprise,8,204,3.153988868274583,94.49598021026593,ta
Lifestyle,Shock,9,189,2.922077922077922,97.41805813234384,ta
Crime,Shock,8,167,2.581941867656153,100.0,ta
