post_created_date,reach,Genre.1,Emotions.1,caption,permalink,likes,comments,shares,saved,total_interactions,caption_short
2026-02-09,1068484,Crime,Shock -VE,,"<a href=""https://www.instagram.com/p/DUilD5biX8f/"" target=""_blank"">link</a>",1324,102,6697,,9154,nan
2026-03-13,543465,Entertainment,Controversy,,"<a href=""https://www.instagram.com/p/DV0CY0MATmS/"" target=""_blank"">link</a>",3857,85,3652,,8074,nan
2026-03-16,145106,Entertainment,Controversy,,"<a href=""https://www.instagram.com/p/DV73zLzglmD/"" target=""_blank"">link</a>",1543,33,6220,,8122,nan
2026-02-10,143196,Off-beat,Heartwarming,,"<a href=""https://www.instagram.com/p/DUlNqo7EwZz/"" target=""_blank"">link</a>",3610,8,47,,3769,nan
2026-02-16,79195,Off-beat,Heartwarming,,"<a href=""https://www.instagram.com/p/DUzaXyLCAJs/"" target=""_blank"">link</a>",4728,45,879,,5947,nan
2026-02-11,72884,Off-beat,Curiosity,,"<a href=""https://www.instagram.com/p/DUn0nPtD2Bd/"" target=""_blank"">link</a>",106,2,174,,318,nan
2026-03-09,49064,Off-beat,Shock -VE,,"<a href=""https://www.instagram.com/p/DVp_SHboJEk/"" target=""_blank"">link</a>",141,4,127,,352,nan
2026-03-30,35046,Current-Affairs,Fear/Concern,,"<a href=""https://www.instagram.com/p/DWfkJprFr3n/"" target=""_blank"">link</a>",184,10,3393,,3693,nan
2026-01-06,34521,Entertainment,Controversy,,"<a href=""https://www.instagram.com/p/DTLO2AbmFSn/"" target=""_blank"">link</a>",31,0,41,,84,nan
2026-03-01,25838,Off-beat,Shock -VE,,"<a href=""https://www.instagram.com/p/DVU25GwCLDJ/"" target=""_blank"">link</a>",155,2,479,,700,nan
