post_created_date,reach,Genre.1,Emotions.1,caption,permalink,likes,comments,shares,saved,total_interactions,caption_short
2026-02-09,1068484,Crime,Shock -VE,,https://www.instagram.com/p/DUilD5biX8f/,1324,102,6697,,9154,nan
2026-03-13,543465,Entertainment,Controversy,,https://www.instagram.com/p/DV0CY0MATmS/,3857,85,3652,,8074,nan
2026-03-16,145106,Entertainment,Controversy,,https://www.instagram.com/p/DV73zLzglmD/,1543,33,6220,,8122,nan
2026-02-10,143196,Off-beat,Heartwarming,,https://www.instagram.com/p/DUlNqo7EwZz/,3610,8,47,,3769,nan
2026-02-16,79195,Off-beat,Heartwarming,,https://www.instagram.com/p/DUzaXyLCAJs/,4728,45,879,,5947,nan
2026-02-11,72884,Off-beat,Curiosity,,https://www.instagram.com/p/DUn0nPtD2Bd/,106,2,174,,318,nan
2026-04-03,71233,Int others,Controversy,,https://www.instagram.com/p/DWqhQHjl_Tv/,1144,108,11752,,13436,nan
2026-03-09,49064,Off-beat,Shock -VE,,https://www.instagram.com/p/DVp_SHboJEk/,141,4,127,,352,nan
2026-02-22,37733,Lifestyle,Shock -VE,,https://www.instagram.com/p/DVEOSyEl6bV/,98,2,776,,938,nan
2026-01-30,37277,Crime,Breaking News,,https://www.instagram.com/p/DUIznmnj-co/,215,3,1093,,1339,nan
2026-03-30,35046,Current-Affairs,Fear/Concern,,https://www.instagram.com/p/DWfkJprFr3n/,184,10,3393,,3693,nan
2026-01-06,34521,Entertainment,Controversy,,https://www.instagram.com/p/DTLO2AbmFSn/,31,0,41,,84,nan
2026-03-01,25838,Off-beat,Shock -VE,,https://www.instagram.com/p/DVU25GwCLDJ/,155,2,479,,700,nan
2026-03-22,25664,Current-Affairs,Fear/Concern,,https://www.instagram.com/p/DWLqSdkgtvO/,430,32,1008,,1572,nan
2026-03-02,17097,Entertainment,Controversy,,https://www.instagram.com/p/DVXgKYMCNjQ/,100,1,31,,144,nan
2026-01-25,15053,Entertainment,Shock -VE,,https://www.instagram.com/p/DT7F3GcjxuX/,48,0,28,,80,nan
2026-03-11,14149,Sports,Controversy,,https://www.instagram.com/p/DVvcalMEkh0/,92,1,15,,113,nan
2026-03-16,13721,Sports,Happiness,,https://www.instagram.com/p/DV71SwBEzxk/,190,0,7,,203,nan
2026-01-28,13442,Off-beat,Surprise +VE,,https://www.instagram.com/p/DUDutScGHBZ/,129,4,187,,337,nan
2026-03-02,13190,Entertainment,Surprise +VE,,https://www.instagram.com/p/DVYMMVZiGWK/,76,1,92,,174,nan
2026-01-07,13173,Lifestyle,Fear/Concern,,https://www.instagram.com/p/DTNKLOfmEyy/,57,0,313,,404,nan
2026-01-21,12950,Off-beat,Shock -VE,,https://www.instagram.com/p/DTwlaJrjLbt/,228,5,909,,1230,nan
2026-01-01,12577,Lifestyle,Fear/Concern,,https://www.instagram.com/p/DS9yWy9Cf0X/,94,0,551,,685,nan
2026-03-30,11266,Off-beat,Surprise +VE,,https://www.instagram.com/p/DWf_r2ljLOM/,42,1,890,,956,nan
2026-03-08,10969,Entertainment,Shock -VE,,https://www.instagram.com/p/DVnR2RekhdW/,81,0,8,,93,nan
2026-03-16,10595,Entertainment,Controversy,,https://www.instagram.com/p/DV7kvBZj0UI/,50,2,13,,78,nan
2026-03-09,10490,Off-beat,Shock -VE,,https://www.instagram.com/p/DVp9pp8CER4/,115,4,541,,671,nan
2026-03-05,10303,Entertainment,Controversy,,https://www.instagram.com/p/DVgktsmAar-/,59,0,2,,64,nan
2026-01-26,9457,Entertainment,Controversy,,https://www.instagram.com/p/DT-IN3NDhs3/,65,0,11,,78,nan
2026-03-03,9395,Current-Affairs,Sadness,,https://www.instagram.com/p/DVa7Xf1CHZz/,78,1,140,,235,nan
