Genre.1,Emotions.1,posts,median_reach,mean_reach,p75_reach,max_reach,lift_vs_label_median_pct
Business,Sad,3,28.0,32.0,36.0,44,-37.07865168539326
Crime,Curious,8,13.0,34.0,41.0,135,-70.78651685393258
Cultural,Happiness,3,932.0,1030.0,1157.0,1382,1994.38202247191
Curent-Affairs,Proud,8,17.5,34.125,60.0,97,-60.67415730337078
Current Affairs,Breaking News,3,27.0,19.666666666666668,28.5,30,-39.32584269662921
Current-Affairs,Anger/ Rage,5,14.0,13.4,14.0,18,-68.53932584269663
Entertainment,Surprise,8,8.5,17.25,23.5,48,-80.89887640449437
Gulf,Shocking,3,53.0,51.666666666666664,53.5,54,19.10112359550562
Int others,Curiosity,3,1161.0,1387.0,1562.5,1964,2508.9887640449438
International Politics,Shock,3,6.0,21.666666666666668,30.0,54,-86.51685393258427
Lifestyle,excitement,3,20.0,20.333333333333332,27.0,34,-55.0561797752809
Off-beat,Fear/Concern,3,3.0,888.0,1331.0,2659,-93.25842696629213
Offbeat,Surprise,5,35.0,34.8,40.0,48,-21.34831460674157
Patriotic,Patriotism,4,1648.0,1477.0,2453.75,2612,3603.3707865168535
Politics,Happy,16,35.5,31.25,46.25,72,-20.2247191011236
Spiritual,Spiritual,4,22.0,22.25,38.75,41,-50.56179775280899
Sports,Shock,6,8.5,10.833333333333334,11.5,27,-80.89887640449437
